project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,gl_n_chunk_size_length_n,geocodio_latitude,geocodio_longitude,geocodio_accuracy_score,geocodio_accuracy_type,geocodio_address_line_1,geocodio_address_line_2,geocodio_address_line_3,geocodio_address_line_4,geocodio_house_number,geocodio_street,geocodio_unit_type,geocodio_unit_number,geocodio_city,geocodio_state_province,geocodio_nation,geocodio_county,geocodio_postal_code,geocodio_country,geocodio_building_name,geocodio_source,geocodio_stable_address_key,geocodio_match_type
1710 S 5TH ST BLDG 2,"ePlan: Residential Expedited Review - New THREE UNIT RES. 
Bldg 2 New construction of a 3-Story SF Res [3bed 3.5bath] with attached Carport",2026-01-29,1,3,1710 S 5TH ST BLDG 2,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13637612,1710 SOUTH 5TH STREET BLDG 2,NA,Austin,Texas,United States,1,30.249877,-97.76135,1,rooftop,1710 S 5th St,Bldg 2,"Austin, TX 78704",NA,1710,S 5th St,Bldg,2,Austin,TX,NA,Travis County,78704,US,NA,City of Austin (Public Domain),gcod_usnbycpbmw62jezaxf6cv5zmfambe-ccg9hlgwccj34,building_centroid
1503 OAK HEIGHTS DR BLDG 2,"ePlan: Residential Expedited Review - New TWO UNIT RES. 
Bldg 2 New construction of a 3-Story SF Res [4bed 3.5bath] with attached Carport",2026-01-14,1,3,1503 OAK HEIGHTS DR BLDG 2,78741,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13632454,1503 OAK HEIGHTS DRIVE BLDG 2,NA,Austin,Texas,United States,1,30.241878,-97.733399,1,rooftop,1503 Oak Heights Dr,Bldg 2,"Austin, TX 78741",NA,1503,Oak Heights Dr,Bldg,2,Austin,TX,NA,Travis County,78741,US,NA,City of Austin (Public Domain),gcod_usngnp6dbqadnry4w5l9xmf63q4aa-yhq9572smpzje,building_centroid
5607 FORKS RD,New 2-story sfr with 3 bedrooms 2.5 bathrooms and an attached 2-car garage.,2026-02-06,1,2,5607 FORKS RD,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13644612,5607 FORKS ROAD,NA,Austin,Texas,United States,1,30.148675,-97.75352,1,rooftop,5607 Forks Rd,NA,"Austin, TX 78747",NA,5607,Forks Rd,NA,NA,Austin,TX,NA,Travis County,78747,US,NA,City of Austin (Public Domain),gcod_usn92653vsdjezj5ur7n2yzq67er6,building_centroid
1514 WESTOVER RD,Bldg. 2: New detached garage with 2nd story dwelling.,2026-01-15,1,2,1514 WESTOVER RD,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13639859,1514 WESTOVER ROAD,NA,Austin,Texas,United States,1,30.298606,-97.754742,1,rooftop,1514 Westover Rd,NA,"Austin, TX 78703",NA,1514,Westover Rd,NA,NA,Austin,TX,NA,Travis County,78703,US,NA,City of Austin (Public Domain),gcod_usn8wfsgahpvr9te7ej9ldhh7kmq2,building_centroid
21 SCOTT CRES,21 Scott Cres:  New larger unit of duplex 5 bedroom  4.5 bath,2026-02-06,1,2,21 SCOTT CRES,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13650985,21 SCOTT CRES,NA,Austin,Texas,United States,1,30.299339,-97.760126,1,rooftop,21 Scott Cres,NA,"Austin, TX 78703",NA,21,Scott Cres,NA,NA,Austin,TX,NA,Travis County,78703,US,NA,City of Austin (Public Domain),gcod_usnh6g44g7qdtvp3xsu3w4zrd97ca,building_centroid
7701 HARDY DR BLDG 2,New 2-story SFR - ADU 1 bed 2 bath to rear of existing SFR and new driveway approach,2026-01-12,1,2,7701 HARDY DR BLDG 2,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13625471,7701 HARDY DRIVE BLDG 2,NA,Austin,Texas,United States,1,30.351477,-97.728507,1,rooftop,7701 Hardy Dr,Bldg 2,"Austin, TX 78757",NA,7701,Hardy Dr,Bldg,2,Austin,TX,NA,Travis County,78757,US,NA,City of Austin (Public Domain),gcod_usnskqv26msydn29yxuuhe9n4rly7-29er5h4dzmjeh,building_centroid
1320 SWEET BARK ST,1320 Sweet Bark - New two-story duplex (3br/2.5ba/unit) with attached garages and covered patios *PRODUCTION BUILDER-CONDO*,2026-01-14,1,2,1320 SWEET BARK ST,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13639648,1320 SWEET BARK STREET,NA,Austin,Texas,United States,1,30.186837,-97.808301,1,rooftop,1320 Sweet Bark St,NA,"Austin, TX 78745",NA,1320,Sweet Bark St,NA,NA,Austin,TX,NA,Travis County,78745,US,NA,City of Austin (Public Domain),gcod_usnxmqsqa6enfdd7x32q9hzhbqaa7,building_centroid
2110 MALDON PL,ePlan: Residential Expedited Review - New TWO UNIT RES. Bldg 1 New construction of a 2-Story Single Family Res. [3bed 3bath],2026-02-09,1,2,2110 MALDON PL,78722,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13627141,2110 MALDON PLACE,NA,Austin,Texas,United States,1,30.283591,-97.716286,1,rooftop,2110 Maldon Pl,NA,"Austin, TX 78722",NA,2110,Maldon Pl,NA,NA,Austin,TX,NA,Travis County,78722,US,NA,City of Austin (Public Domain),gcod_usnp9l72bmw5dg59q6kfpey6vn4ng,building_centroid
6001 SILENT NOVA VW,PB: New construction of 2 story SFR condo - attached 2 car garage rear extended covered patio balcony 5 bedrooms 5.5 bathrooms,2026-01-15,1,1,6001 SILENT NOVA VW,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13639884,6001 SILENT NOVA VW,NA,Austin,Texas,United States,1,30.383097,-97.842093,1,rooftop,6001 Silent Nova Vw,NA,"Austin, TX 78730",NA,6001,Silent Nova Vw,NA,NA,Austin,TX,NA,Travis County,78730,US,NA,City of Austin (Public Domain),gcod_usn968jrbsm7zsl92efngqgmt9dwd,building_centroid
4611 BANISTER LN,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5bed 4bath] with Attached Garage.,2026-01-23,1,2,4611 BANISTER LN,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13638193,4611 BANISTER LANE,NA,Austin,Texas,United States,1,30.220925,-97.782692,1,rooftop,4611 Banister Ln,NA,"Austin, TX 78745",NA,4611,Banister Ln,NA,NA,Austin,TX,NA,Travis County,78745,US,NA,City of Austin (Public Domain),gcod_usnbk6btepjdz4xb3wvdjz23l8ux5,building_centroid
3916 KNOLLWOOD DR,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5bed 3.5bath] with Attached Garage,2026-02-03,1,2,3916 KNOLLWOOD DR,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13647909,3916 KNOLLWOOD DRIVE,NA,Austin,Texas,United States,1,30.353724,-97.763951,1,rooftop,3916 Knollwood Dr,NA,"Austin, TX 78731",NA,3916,Knollwood Dr,NA,NA,Austin,TX,NA,Travis County,78731,US,NA,City of Austin (Public Domain),gcod_usn7zryszuqx4k2es4xdp7fgr2fzh,building_centroid
4801-1/2 FAIRVIEW DRIVE Bldg 1,BLDG 1: New construction of a -Story Single Family Res.  [4 bed 3.5 bath] with Attached 2-car Garage.,2026-02-02,1,2,4801 FAIRVIEW DR BLDG 1,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13644681,4801 FAIRVIEW DRIVE BLDG 1,NA,Austin,Texas,United States,1,30.329183,-97.760156,1,rooftop,4801 Fairview Dr,Bldg 1,"Austin, TX 78731",NA,4801,Fairview Dr,Bldg,1,Austin,TX,NA,Travis County,78731,US,NA,City of Austin (Public Domain),gcod_usnzberzawhuk6p6uxcgsfmucgedf-78f7m6kdvjcbf,building_centroid
6605 ARGENTIA RD,new 3-story SFR 6 bed 5 bath with attached garage front covered porch and rear covered patio,2026-01-21,1,3,6605 ARGENTIA RD,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13640763,6605 ARGENTIA ROAD,NA,Austin,Texas,United States,1,30.346721,-97.747659,1,rooftop,6605 Argentia Rd,NA,"Austin, TX 78757",NA,6605,Argentia Rd,NA,NA,Austin,TX,NA,Travis County,78757,US,NA,City of Austin (Public Domain),gcod_usn3fl9hd33lvydgdw2b88zdx944f,building_centroid
5156 VILLAGE SQUARE DR BLDG 6,Bldg. 6 Unit A - 3bedroom 2 bath - New construction of 2 story 4 unit Townhome.,2026-01-05,1,2,5156 VILLAGE SQUARE DR BLDG 6,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13618500,5156 VILLAGE SQUARE DRIVE BLDG 6,NA,Austin,Texas,United States,1,30.187483,-97.743183,1,rooftop,5156 Village Square Dr,Bldg 6,"Austin, TX 78744",NA,5156,Village Square Dr,Bldg,6,Austin,TX,NA,Travis County,78744,US,NA,City of Austin (Public Domain),gcod_usnb3q9p945xlvg6gh62h4ecvq2zh-wbkfl4eun2m4f,building_centroid
9600 WIGGY WAY,New construction of single-family dwelling with 5 bedrooms and 5.5 bathrooms 3 car garage rear patio and front porch,2026-02-02,1,2,9600 WIGGY WAY,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13648143,9600 WIGGY WAY,NA,Austin,Texas,United States,1,30.140811,-97.707249,1,rooftop,9600 Wiggy Way,NA,"Austin, TX 78744",NA,9600,Wiggy Way,NA,NA,Austin,TX,NA,Travis County,78744,US,NA,City of Austin (Public Domain),gcod_usnttj9eyv6bg9a87ttdeg6kqzdeg,building_centroid
923 CARDINAL LN,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [3bed 2.5bath] with Attached Carport. 923 Cardinal Ln,2026-01-22,1,2,923 CARDINAL LN,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13610697,923 CARDINAL LANE,NA,Austin,Texas,United States,1,30.234111,-97.770774,1,rooftop,923 Cardinal Ln,NA,"Austin, TX 78704",NA,923,Cardinal Ln,NA,NA,Austin,TX,NA,Travis County,78704,US,NA,City of Austin (Public Domain),gcod_usna3rhr3l6scdp3gj2uxetwf98ph,building_centroid
8901 NILGAI DR,New single-story SFR (4br/2.5ba) with attached garage covered porch and covered patio *PRODUCTION BUILDER- GREEN BUILDING*,2026-01-02,1,1,8901 NILGAI DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13633857,8901 NILGAI DRIVE,NA,Austin,Texas,United States,1,30.142144,-97.709296,1,rooftop,8901 Nilgai Dr,NA,"Austin, TX 78744",NA,8901,Nilgai Dr,NA,NA,Austin,TX,NA,Travis County,78744,US,NA,City of Austin (Public Domain),gcod_usnzlzfxkur6fkh9g3yrevgeqxbgd,building_centroid
2021 PAYNE AVE,New construction of a 2-Story Single Family Res. [4 bed 4bath] with Habitable Attic Attached 2 car Garage and rear porch.,2026-01-08,1,2,2021 PAYNE AVE,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13637888,2021 PAYNE AVE,NA,Austin,Texas,United States,1,30.339141,-97.737431,1,rooftop,2021 Payne Ave,NA,"Austin, TX 78757",NA,2021,Payne Ave,NA,NA,Austin,TX,NA,Travis County,78757,US,NA,City of Austin (Public Domain),gcod_usn67tkrb4y8qr92bhw8t5dgty6c3,building_centroid
10204 EPSILON WAY,New construction of 2 story SFR Condo with 5 or 6 bed option 5.5 baths covered patio covered porch and covered front deck with 3 car attached tandem garage,2026-02-06,1,2,10204 EPSILON WAY,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13650482,10204 EPSILON WAY,NA,Austin,Texas,United States,1,30.384756,-97.843316,1,rooftop,10204 Epsilon Way,NA,"Austin, TX 78730",NA,10204,Epsilon Way,NA,NA,Austin,TX,NA,Travis County,78730,US,NA,City of Austin (Public Domain),gcod_usnaeevc4d3sn7lhw8fl5mt97nyu5,building_centroid
817 JOHNNY LIMON WAY,817 New Construction of a 3 Story Duplex Condo,2025-12-29,1,3,817 JOHNNY LIMON WAY,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13476474,817 JOHNNY LIMON WAY,NA,Austin,Texas,United States,1,30.253077,-97.687696,1,rooftop,817 Johnny Limon Way,NA,"Austin, TX 78721",NA,817,Johnny Limon Way,NA,NA,Austin,TX,NA,Travis County,78721,US,NA,City of Austin (Public Domain),gcod_usnsc97z62w6cvk3amxe6t3ngscj5,building_centroid
9408 HAMADRYAS DR,New 1-story single family residence 4 bedroom/3 bathroom with attached garage covered porch and patio  green building,2026-01-27,1,1,9408 HAMADRYAS DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13646105,9408 HAMADRYAS DRIVE,NA,Austin,Texas,United States,1,30.143791,-97.706895,1,rooftop,9408 Hamadryas Dr,NA,"Austin, TX 78744",NA,9408,Hamadryas Dr,NA,NA,Austin,TX,NA,Travis County,78744,US,NA,City of Austin (Public Domain),gcod_usnlzumfbkd8phgbqal6zyvaxflcb,building_centroid
1703 ALAMEDA DR,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [2bed 2.5bath] with Attached Garage.,2026-01-05,1,2,1703 ALAMEDA DR,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13635393,1703 ALAMEDA DRIVE,NA,Austin,Texas,United States,1,30.244055,-97.743891,1,rooftop,1703 Alameda Dr,NA,"Austin, TX 78704",NA,1703,Alameda Dr,NA,NA,Austin,TX,NA,Travis County,78704,US,NA,City of Austin (Public Domain),gcod_usn5w9wrca5exuf67xzcvsvnppuaa,building_centroid
5905 JORGE GUERRA ST,Building 5905 Jorge Guerra St New construction of a 3-story duplex as part of a larger development of 15 total buildings on a single lot.  3/3,2025-12-31,1,3,5905 JORGE GUERRA ST,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13477096,5905 JORGE GUERRA STREET,NA,Austin,Texas,United States,1,30.252224,-97.68763,1,rooftop,5905 Jorge Guerra St,NA,"Austin, TX 78721",NA,5905,Jorge Guerra St,NA,NA,Austin,TX,NA,Travis County,78721,US,NA,City of Austin (Public Domain),gcod_usnsc45qx6njqw3a8h3ju5hs32geh,building_centroid
5701 HIGHLAND HILLS DR,New construction of a 2-Story Single Family Res. [4 bed 3.5 bath] with Attached carport,2026-01-06,1,2,5701 HIGHLAND HILLS DR,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13634181,5701 HIGHLAND HILLS DRIVE,NA,Austin,Texas,United States,1,30.337948,-97.75743,1,rooftop,5701 Highland Hills Dr,NA,"Austin, TX 78731",NA,5701,Highland Hills Dr,NA,NA,Austin,TX,NA,Travis County,78731,US,NA,City of Austin (Public Domain),gcod_usnu5lr99dzs7q8dm9keanz2yky54,building_centroid
113 KIMBLE LN,"Relocation of tiny home onto lot fence the front and back of the lot 405 sq ft. 1 bedroom 1 bathroom 

Moved from within the City",2026-01-27,1,1,113 KIMBLE LN,78742,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13639564,113 KIMBLE LANE,NA,Austin,Texas,United States,1,30.244303,-97.685414,1,rooftop,113 Kimble Ln,NA,"Austin, TX 78742",NA,113,Kimble Ln,NA,NA,Austin,TX,NA,Travis County,78742,US,NA,City of Austin (Public Domain),gcod_usnpasvat4q7pqpg9pvm7p7d7mdnh,building_centroid
1710 S 5TH ST BLDG 1,"ePlan: Residential Expedited Review - New THREE UNIT RES. 
Bldg 1 New construction of a 3-Story SF Res [4bed 4.5bath] with Attached Carport",2026-01-29,1,3,1710 S 5TH ST BLDG 1,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13637611,1710 SOUTH 5TH STREET BLDG 1,NA,Austin,Texas,United States,1,30.249877,-97.76135,1,rooftop,1710 S 5th St,Bldg 1,"Austin, TX 78704",NA,1710,S 5th St,Bldg,1,Austin,TX,NA,Travis County,78704,US,NA,City of Austin (Public Domain),gcod_usnbycpbmw62jezaxf6cv5zmfambe-krh6sng2wr8f8,building_centroid
4401 ELOHI DR,New 2-story 6 bedroom 7 bathroom (5 full 2 half) single family residence with attached garage and covered porches.,2026-01-22,1,2,4401 ELOHI DR,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13600243,4401 ELOHI DRIVE,NA,Austin,Texas,United States,1,30.325324,-97.780319,1,rooftop,4401 Elohi Dr,NA,"Austin, TX 78746",NA,4401,Elohi Dr,NA,NA,Austin,TX,NA,Travis County,78746,US,NA,City of Austin (Public Domain),gcod_usnfhqj3vncky69dnzxqcxd5qasq2,building_centroid
4909 WOODROW AVE BLDG 1,"Building 1 New Deck and Stoops for existing SFR
Relocate Main house to front of Lot (within the property lines) 3/2 (no interior repair work other than reconnections) the relocation will be treated as New Construction for permitting purposes.",2026-02-04,1,2,4909 WOODROW AVE BLDG 1,78756,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13597005,4909 WOODROW AVE BLDG 1,NA,Austin,Texas,United States,1,30.320375,-97.737968,1,rooftop,4909 Woodrow Ave,Bldg 1,"Austin, TX 78756",NA,4909,Woodrow Ave,Bldg,1,Austin,TX,NA,Travis County,78756,US,NA,City of Austin (Public Domain),gcod_usnqnzwlk5vmwtdc9jwpq2wgjsqhc-g8gz69e2r3jl9,building_centroid
2402 KATHY CV,new 3-story SFU 4 bed 4 bath with basement storage attached garage and rear covered patio/balcony,2026-01-26,1,4,2402 KATHY CV,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13562409,2402 KATHY CV,NA,Austin,Texas,United States,1,30.250024,-97.789625,1,rooftop,2402 Kathy Cv,NA,"Austin, TX 78704",NA,2402,Kathy Cv,NA,NA,Austin,TX,NA,Travis County,78704,US,NA,City of Austin (Public Domain),gcod_usnfj76xvyguk6ug3ymawg7nje2l8,building_centroid
4603 AVENUE C,New construction of 2 story SFR 4 bed 5 bath with attached carport front covered porch and rear covered patio,2026-02-10,1,2,4603 AVENUE C,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13626883,4603 AVENUE C,NA,Austin,Texas,United States,1,30.311637,-97.72846,1,rooftop,4603 Ave C,NA,"Austin, TX 78751",NA,4603,Ave C,NA,NA,Austin,TX,NA,Travis County,78751,US,NA,Statewide (CC 0 Texas Natural Resources Information System),gcod_usn4sst9ef4y962cksjmuxbvds3la,NA
5605 FORKS RD,New 2-story single family residence with 3 bedrooms 2.5 bathrooms and an attached 2 car garage,2026-01-30,1,2,5605 FORKS RD,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13644208,5605 FORKS ROAD,NA,Austin,Texas,United States,1,30.148668,-97.753613,1,rooftop,5605 Forks Rd,NA,"Austin, TX 78747",NA,5605,Forks Rd,NA,NA,Austin,TX,NA,Travis County,78747,US,NA,City of Austin (Public Domain),gcod_usn92653vsdjezj524wlkksx9b4pb,building_centroid
5001 PECAN SPRINGS RD BLDG 4,New construction of 3 story SFR Condo with 2 car garage 3 beds 2.5 baths 2nd and 3rd story balcony,2026-01-28,1,3,5001 PECAN SPRINGS RD BLDG 4,78723,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13646011,5001 PECAN SPRINGS ROAD BLDG 4,NA,Austin,Texas,United States,1,30.294255,-97.681378,1,rooftop,5001 Pecan Springs Rd,Bldg 4,"Austin, TX 78723",NA,5001,Pecan Springs Rd,Bldg,4,Austin,TX,NA,Travis County,78723,US,NA,City of Austin (Public Domain),gcod_usn8pv8mxsffklhfg7swb46v74na2-gmtajnb2rvx5b,building_centroid
5109 MONARDA MINT DR,Afton 2981-HC201-L New 1-Story Single Family Residence with (4) bedrooms (2) bathrooms Attached Garage Covered Patio & Porch Cafe,2026-01-23,1,1,5109 MONARDA MINT DR,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13643039,5109 MONARDA MINT DRIVE,NA,Austin,Texas,United States,1,30.366468,-97.624723,0.99,rooftop,5109 Monarda Mint Dr,NA,"Austin, TX 78754",NA,5109,Monarda Mint Dr,NA,NA,Austin,TX,NA,Travis County,78754,US,NA,City of Austin (Public Domain),gcod_usncxvl5pv2x2sb546xtjj6fhfe99,building_centroid
1808 APRICOT GLEN DR,New construction of a 2-Story Single Family Res. [5 bed 5.5 bath] covered patio guest bedroom/bathroom suite attached via covered patio  attached 3-car garage.,2026-01-08,1,2,1808 APRICOT GLEN DR,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13634919,1808 APRICOT GLEN DRIVE,NA,Austin,Texas,United States,1,30.263373,-97.803627,1,rooftop,1808 Apricot Glen Dr,NA,"Austin, TX 78746",NA,1808,Apricot Glen Dr,NA,NA,Austin,TX,NA,Travis County,78746,US,NA,City of Austin (Public Domain),gcod_usn8yajb49warbyep27mq4e6xgex5,building_centroid
12504 SAINT THOMAS DR,Callaghan 830-M-L Is a New one-story single-family residence with (4) bedrooms (2) bathrooms an attached two-car garage and a covered porch and patio.,2026-01-27,1,1,12504 SAINT THOMAS DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13642546,12504 SAINT THOMAS DRIVE,NA,Austin,Texas,United States,1,30.180216,-97.618435,1,rooftop,12504 St Thomas Dr,NA,"Del Valle, TX 78617",NA,12504,St Thomas Dr,NA,NA,Del Valle,TX,NA,Travis County,78617,US,NA,City of Austin (Public Domain),gcod_usn5dsh7n8zr5eha27zfzbq9ua2m4,building_centroid
12508 SAINT THOMAS DR,Reynolds 890-M-L Is a New two-story single-family residence with (5) bedrooms (3) bathrooms an attached two-car garage and a covered entry porch and patio.,2026-01-27,1,2,12508 SAINT THOMAS DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13641843,12508 SAINT THOMAS DRIVE,NA,Austin,Texas,United States,1,30.180158,-97.618324,1,rooftop,12508 St Thomas Dr,NA,"Del Valle, TX 78617",NA,12508,St Thomas Dr,NA,NA,Del Valle,TX,NA,Travis County,78617,US,NA,City of Austin (Public Domain),gcod_usn5dsh7n8zr5eha23dhbuse24fn8,building_centroid
5001 PECAN SPRINGS RD BLDG 3,New 3-story 3 bedroom 3.5 bathroom single family condo with attached garage covered front porch rear covered patio and 2nd floor covered balcony.,2026-01-27,1,3,5001 PECAN SPRINGS RD BLDG 3,78723,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13644894,5001 PECAN SPRINGS ROAD BLDG 3,NA,Austin,Texas,United States,1,30.294255,-97.681378,1,rooftop,5001 Pecan Springs Rd,Bldg 3,"Austin, TX 78723",NA,5001,Pecan Springs Rd,Bldg,3,Austin,TX,NA,Travis County,78723,US,NA,City of Austin (Public Domain),gcod_usn8pv8mxsffklhfg7swb46v74na2-jzpjx3fa8wsxc,building_centroid
3112 PRADO ST--BLDG 1,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [3bed 2.5bath] with Attached Garage. Bldg 1,2026-01-26,1,2,3112 PRADO ST BLDG 1,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13627364,3112 PRADO STREET BLDG 1,NA,Austin,Texas,United States,1,30.260878,-97.705113,1,rooftop,3112 Prado St,Bldg 1,"Austin, TX 78702",NA,3112,Prado St,Bldg,1,Austin,TX,NA,Travis County,78702,US,NA,City of Austin (Public Domain),gcod_usnu4h32t37qu752jbjuq3vyh6rm7-4yq333kfcd5aa,building_centroid
905 SOUTH CENTER ST,Bldg 2: New construction 3-unit use single-family residential 2-story 3 bedroom 2.5 bath with attached 1-car garage covered front porch and 2nd story balcony.,2026-01-05,1,2,905 SOUTH CENTER ST,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13635429,905 SOUTH CENTER STREET,NA,Austin,Texas,United States,1,30.231278,-97.771886,1,rooftop,905 S Center St,NA,"Austin, TX 78704",NA,905,S Center St,NA,NA,Austin,TX,NA,Travis County,78704,US,NA,City of Austin (Public Domain),gcod_usn6jdnfxwynvdvg7j4mj2rnumyyd,building_centroid
5156 VILLAGE SQUARE DR BLDG 8,Bldg. 8 - Unit D - 3 bed 2 bath - New construction of 2 story 4 unit Townhomes,2026-01-05,1,2,5156 VILLAGE SQUARE DR BLDG 8,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13618545,5156 VILLAGE SQUARE DRIVE BLDG 8,NA,Austin,Texas,United States,1,30.187483,-97.743183,1,rooftop,5156 Village Square Dr,Bldg 8,"Austin, TX 78744",NA,5156,Village Square Dr,Bldg,8,Austin,TX,NA,Travis County,78744,US,NA,City of Austin (Public Domain),gcod_usnb3q9p945xlvg6gh62h4ecvq2zh-xqblwpmvjrb3h,building_centroid
8804 BREEZE HILL DR,"New SFR 2- Story 3 bedroom 2.5 bath with attached 2-car garage covered front porch and covered rear patio

PUD",2026-01-12,1,2,8804 BREEZE HILL DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13638507,8804 BREEZE HILL DRIVE,NA,Austin,Texas,United States,1,30.145807,-97.713867,1,rooftop,8804 Breeze Hill Dr,NA,"Austin, TX 78744",NA,8804,Breeze Hill Dr,NA,NA,Austin,TX,NA,Travis County,78744,US,NA,City of Austin (Public Domain),gcod_usnr89vkhwcdyep9esnzryh2gvvc9,building_centroid
9513 GLADSOME PATH,"*Green Building*
2 Story SFR home with 4 bedrooms and 3 bathrooms with attached garage and covered porch.",2026-02-03,1,2,9513 GLADSOME PATH,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13648836,9513 GLADSOME PATH,NA,Austin,Texas,United States,1,30.292901,-97.546368,1,rooftop,9513 Gladsome Path,NA,"Manor, TX 78653",NA,9513,Gladsome Path,NA,NA,Manor,TX,NA,Travis County,78653,US,NA,City of Austin (Public Domain),gcod_usnwtmujq3nx25y7mz3ev4985dux2,building_centroid
5156 VILLAGE SQUARE DR BLDG 4,Bldg. 4 Unit B - New Construction of 3 story townhome w/ 3 bedrooms and 2.5 baths.,2026-01-05,1,3,5156 VILLAGE SQUARE DR BLDG 4,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13618440,5156 VILLAGE SQUARE DRIVE BLDG 4,NA,Austin,Texas,United States,1,30.187483,-97.743183,1,rooftop,5156 Village Square Dr,Bldg 4,"Austin, TX 78744",NA,5156,Village Square Dr,Bldg,4,Austin,TX,NA,Travis County,78744,US,NA,City of Austin (Public Domain),gcod_usnb3q9p945xlvg6gh62h4ecvq2zh-tmslvmw22smvc,building_centroid
